ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
10326.0,O(C)c1c(O)c2C(=O)C(OC)=C(c3c(O)cc(OC)c(OC)c3)Oc2cc1OC,NAPROC-13,9,2,2.9142001,116.82,404.371,0.25,29,3,9,6,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0,0.19354838,0,0
10327.0,O(C)c1c(O)c(OC)c2OC(c3c(O)cc(O)c(OC)c3)=C(OC)C(=O)c2c1O,NAPROC-13,10,4,2.3168001,148.05,406.34299,0.21052632,29,3,10,5,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.16129032,0,0
10328.0,O(C)c1c(OC)cc(C2=C(OC)C(=O)c3c(O)cc(O)c(OC)c3O2)cc1OC,NAPROC-13,9,2,2.9142001,116.82,404.371,0.25,29,3,9,6,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0,0.19354838,0,0
10329.0,O(C)c1c(O)c(OC)c2OC(c3cc(OC)c(O)c(OC)c3)=C(OC)C(=O)c2c1O,NAPROC-13,10,3,2.6198001,137.05,420.37,0.25,30,3,10,6,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.1875,0,0
10330.0,O(C)c1c(O)c(OC)c2OC(c3cc(OC)c(OC)c(O)c3)=C(OC)C(=O)c2c1O,NAPROC-13,10,3,2.6198001,137.05,420.37,0.25,30,3,10,6,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.1875,0,0
10331.0,O(C)c1c(O)c(OC)c2OC(c3cc(OC)c(OC)c(OC)c3)=C(OC)C(=O)c2c1O,NAPROC-13,10,2,2.9228001,126.05,434.397,0.2857143,31,3,10,7,0,0,2,1,3,0,12,0,0,0,0,0,0,10,0,0.21212122,0,0
10332.0,O(C)C1=C(c2ccccc2)Oc2c(C1=O)ccc1OCCc21,NAPROC-13,4,0,3.4035001,48.669998,294.306,0.16666667,22,4,4,2,0,1,2,1,3,0,12,0,0,0,0,0,0,4,0,0.079999998,0,0
10333.0,O(C)c1c(O)c(OC)cc2OC(c3cc4OCOc4cc3)=C(OC)C(=O)c12,NAPROC-13,8,1,2.9201,96.589996,372.32901,0.21052632,27,4,8,4,0,1,2,1,3,0,12,0,0,0,0,0,0,8,0,0.13333334,0,0
10334.0,O(C)c1c(OC)cc(OC)c2C(=O)C(OC)=C(c3cc4OCOc4cc3)Oc12,NAPROC-13,8,0,3.2230999,85.589996,386.35599,0.25,28,4,8,5,0,1,2,1,3,0,12,0,0,0,0,0,0,8,0,0.16129032,0,0
10335.0,O=C(Oc1c(OC(=O)C)cc(C2=C(OC)C(=O)c3c(OC(=O)C)cc(OC)cc3O2)cc1OC)C,NAPROC-13,11,0,3.2616999,136.8,486.42899,0.25,35,3,11,7,0,0,2,1,3,0,12,0,0,0,0,0,0,11,0,0.27027026,0,0
10336.0,Clc1c(O)c(C2=C(OC)C(=O)c3c(O)cc(OC)c(OC)c3O2)ccc1,NAPROC-13,7,2,3.5504,98.360001,378.76401,0.16666667,26,3,8,4,0,0,2,1,3,0,12,0,0,1,0,0,0,7,0,0.14285715,0,1
