ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
DB00658,NCC=C,FDA,1,1,0.1311,26.02,57.096001,0.33333334,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.33333334,0,0
DB00659,S(=O)(=O)(O)CCCNC(=O)C,FDA,3,2,-0.59960002,83.470001,181.213,0.80000001,11,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0.5,0,0
DB00660,O(CC1OC(=O)NC1)c1cc(C)cc(C)c1,FDA,3,1,1.79064,47.560001,221.256,0.41666666,16,2,4,3,0,1,1,0,1,0,6,0,0,0,0,0,1,3,0,0.17647059,1,0
DB00661,O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,FDA,6,0,5.09308,63.950001,454.61099,0.51851851,33,2,6,13,0,0,2,0,2,0,12,0,0,0,0,0,2,4,0,0.41176471,1,0
DB00662,O=C(NCc1ccc(OCCN(C)C)cc1)c1cc(OC)c(OC)c(OC)c1,FDA,6,1,2.5827999,69.260002,388.46399,0.38095239,28,2,7,10,0,0,2,0,2,0,12,0,0,0,0,0,2,5,0,0.37931034,0,0
DB00664,S(=O)(=O)(N=C1C(OC)=NC=CN1)c1ccc(N)cc1,FDA,5,2,0.29010001,110.43,280.30899,0.090909094,19,2,8,3,0,0,1,1,2,0,6,0,0,0,0,0,4,3,0,0.15000001,0,0
DB00665,FC(F)(F)c1c([N+](=O)[O-])ccc(N2C(=O)C(C)(C)NC2=O)c1,FDA,4,1,2.4484,92.550003,317.22299,0.33333334,22,2,10,2,0,1,1,0,1,0,6,0,0,0,3,0,3,4,0,0.13043478,0,3
DB00666,O=C(N[C@](C(=O)N[C@@](C(=O)NC(C(=O)N[C@](C(=O)N1[C@](C(=O)NCC(=O)N)CCC1)CCCN=C(N)N)CC(C)C)Cc1cc2c(cc1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,FDA,15,16,-1.6229,474.63,1322.496,0.40909091,96,8,30,33,0,2,4,2,6,0,30,0,0,0,0,0,17,13,0,0.407767,9,0
DB00668,O[C@@](CNC)c1cc(O)c(O)cc1,FDA,4,4,0.3506,72.720001,183.207,0.33333334,13,1,4,3,0,0,1,0,1,0,6,0,0,0,0,0,1,3,0,0.23076923,1,0
DB00669,S(=O)(=O)(NC)Cc1cc2c(CCN(C)C)c[nH]c2cc1,FDA,3,2,1.3212,65.199997,295.40799,0.42857143,20,2,6,6,0,0,1,1,2,0,9,0,0,0,0,0,3,2,0,0.2857143,0,0
DB00670,O=C(CN1CCN(C)CC1)N1c2ncccc2NC(=O)c2c1cccc2,FDA,5,1,1.5594,68.779999,351.41,0.31578946,26,4,7,2,0,2,1,1,2,0,12,0,0,0,0,0,5,2,0,0.10344828,0,0
DB00671,O=C(N=C1C(=O)N2C(C(=O)O)=C(C=C)CSC12)C(NOCC(=O)O)C=1NC(=N)SC=1,FDA,9,5,-0.39003,185.24001,453.45801,0.25,30,3,14,8,0,2,0,1,1,0,0,0,0,0,0,0,5,7,0,0.28125,2,0
DB00672,Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1,FDA,3,2,1.7379,75.269997,276.745,0.30000001,17,1,7,4,0,0,1,0,1,0,6,0,0,1,0,0,2,3,0,0.35294119,0,1
DB00673,FC(F)(F)c1cc(C(F)(F)F)cc([C@](O[C@@]2[C@@](N(CC3=NNC(=O)N3)CCO2)c2ccc(F)cc2)C)c1,FDA,5,2,4.9520998,83.239998,534.43201,0.39130434,37,4,14,6,0,1,2,1,3,0,12,0,0,0,7,0,4,3,0,0.2,3,7
DB00674,O(C)c1c2O[C@@]3[C@]4(c2c(cc1)CN(C)CC4)C=C[C@](O)C3,FDA,4,1,1.8503,41.93,287.35901,0.52941179,21,4,4,1,1,2,1,0,1,0,6,0,0,0,0,0,1,3,0,0.041666668,3,0
DB00675,O(CCN(C)C)c1ccc(/C(=C(/CC)\c2ccccc2)/c2ccccc2)cc1,FDA,2,0,5.9960999,12.47,371.52399,0.23076923,28,3,2,8,0,0,3,0,3,0,18,0,0,0,0,0,1,1,0,0.26666668,0,0
