ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
UNPD_subset_A_17,O=C1C2[C@@](C)([C@]3(C)C([C@@]4([C@](C)CC(=O)O4)CC3)=C1)CC[C@]1C(C)(C)C(=O)CC[C@]21C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e880>,O=C1CCC2[C](CCC3C4CC[C@]5([CH]CC(=O)O5)C4=CC(=O)C23)C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c0b0>
UNPD_subset_A_18,O=C1C(=C(C)C)C=C(C2C3[C@](C)([C@@]4(C)[C@@](C5=C(C(C)(C)[C@]6O[C@@]5CC6)CC4)CC3)CC2)C1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e8f0>,C=C1C=C(C2CCC3C4CCC5=C([C]6CC[C](C5)O6)[C]4CCC23)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233c120>
UNPD_subset_A_19,O=C(O[C@]1[C@]2(C)[C@](OC(=O)C)C[C@@]3[C@@](C)(O3)[C@]2[C@@](O)[C@@]23[C@@](C)(C(=O)O[C@@]2/C=C(/C)\C[C@@]1OC(=O)C)O3)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e960>,O=C1O[C]2/C=C\C[CH][CH]C3[CH]C[C]4OC4[C]3[CH][C@]23OC13,<rdkit.Chem.rdchem.Mol object at 0x7a508233c190>
UNPD_subset_A_20,O=C(O[C@]1[C@@](O)(C(=O)C=C(C)C)C(C)(C)C=C1C)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e9d0>,[CH]1C=CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c200>
UNPD_subset_A_21,O=C1[C@]23[C@](C(C)(C)C(=C)C2)C[C@]2(OCOC2=C1)C3,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ea40>,C=C1C[C]2C[C@]34C[C@@]2(C1)C(=O)C=C3OCO4,<rdkit.Chem.rdchem.Mol object at 0x7a508233c270>
UNPD_subset_A_22,O(C)c1cc(O)c-2c(C(=O)c3c(O)c(O)ccc-23)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7eab0>,O=C1c2ccccc2-c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508233c2e0>
UNPD_subset_A_23,C[C@@]1O[C@]2(OCCCCC2)CCC1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7eb20>,[CH]1CCC[C@]2(CCCCCO2)O1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c350>
UNPD_subset_A_24,CC1(C)S[C@@]2[C@](C)C[C@]1CC2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7eb90>,[CH]1C[C]2CC[C]1SC2,<rdkit.Chem.rdchem.Mol object at 0x7a508233c3c0>
UNPD_subset_A_25,O=C1C(C)(C)O[C@@]2[C@](C)([C@@](C)([C@@]3[C@@](O)C[C@]4([C@@]5(C)[C@@](OC(C)(C)C(=O)CC5)CC[C@@]4C)O3)CC2)CC1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ec00>,O=C1CCC2[C](CCC2[C]2[CH]C[C@@]3([CH]CC[C]4OCC(=O)CCC43)O2)OC1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c430>
UNPD_subset_A_26,O=C(Oc1c(-c2c(OC(=O)C)ccc(C=3Oc4c(c(OC(=O)C)cc(OC(=O)C)c4)C(=O)C=3)c2)c2OC(c3ccc(OC)cc3)=CC(=O)c2c(OC(=O)C)c1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ec70>,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c4a0>
UNPD_subset_A_27,O=C1N2[C@@](c3[nH]c4c(c3CC2)cccc4)Cc2c([C@@](O)C)cncc12,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ece0>,O=C1c2cnccc2C[C]2c3[nH]c4ccccc4c3CCN21,<rdkit.Chem.rdchem.Mol object at 0x7a508233c510>
UNPD_subset_A_28,O(C)c1c(O)c(OC)cc(C2Oc3c(O)c(O)ccc3C(=O)C2)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ed50>,O=C1CC(c2ccccc2)Oc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508233c580>
UNPD_subset_A_29,O(c1[nH]c(O)c(C)c1)c1[nH]c(O)c(C)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7edc0>,c1c[nH]c(Oc2ccc[nH]2)c1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c5f0>
UNPD_subset_A_30,O=C(O[C@@]1[C@@](C)[C@](C)CC2(c3c(OC)c(OC)c(OC)cc13)C=C(OC)C(=O)C(OC)=C2)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ee30>,O=C1C=CC2(C=C1)C[CH][CH][CH]c1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c660>
UNPD_subset_A_31,O=C1c2c(O)[nH]c(O)c2Cc2ccc(OC3C4C1C(C=C)C=CC4[C@]1[C@]3CC[C@@](C)C1)cc2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7eea0>,O=C1c2c[nH]cc2Cc2ccc(cc2)OC2[C]3CC[CH]C[C]3C3C=CCC1C32,<rdkit.Chem.rdchem.Mol object at 0x7a508233c6d0>
UNPD_subset_A_32,O=C(O[C@@](C=C(C)C)[C@@](OC(=O)C)[C@](C)[C@]1[C@@](O)[C@@]2C(C)=CC[C@]2C(=C)[C@](O)C1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ef10>,C=C1[CH]C[CH][CH][C]2C=CC[C]21,<rdkit.Chem.rdchem.Mol object at 0x7a508233c740>
UNPD_subset_A_33,O=C1O[C@@]2[C@@]3(C)[C@]4[C@](C)([C@](C)C2)CC=C2[C@](OC=C2)O[C@@]4CCC13,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7ef80>,O=C1O[C]2C[CH]C3CC=C4C=CO[C]4O[C]4CCC1C2[C]43,<rdkit.Chem.rdchem.Mol object at 0x7a508233c7b0>
UNPD_subset_A_34,O(C)c1c2c(O)c3C(=O)OC(C)=Cc3c(O)c2cc(OC)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7eff0>,O=c1occc2cc3ccccc3cc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c820>
UNPD_subset_A_35,O=C1C(C)=C(C)Nc2c1cccc2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f060>,O=c1cc[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c890>
UNPD_subset_A_36,O=C(Oc1c2C(=O)c3c(N(C)c2cc(OC)c1)cccc3)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f0d0>,O=c1c2ccccc2[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c900>
UNPD_subset_A_37,O(C(c1nccc2c1cc(O)c(OC)c2)c1ccc(O)cc1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f140>,c1ccc(Cc2nccc3ccccc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233c970>
UNPD_subset_A_38,O=C1C=C2[C@@]3(O)[C@@](C)([C@@](O)CC3)CCC2[C@]2(C)C1C[C@@](O)[C@@](O)C2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f1b0>,O=C1C=C2C3CC[CH]C3CCC2C2C[CH][CH]CC12,<rdkit.Chem.rdchem.Mol object at 0x7a508233c9e0>
UNPD_subset_A_39,O=C(O[C@]1/C=C(\C)/C[C@@](OC(=O)C)[C@]2C(=C)C(=O)O[C@@]2/C=C(\C)/C1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f220>,C=C1[C]2[CH]C/C=C/[CH]C/C=C/[C]2OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233ca50>
UNPD_subset_A_40,O=C(O)C1CN[C@]2([C@@](C)[C@@]3[C@@]4(C)[C@](O)C[C@@]5[C@]6(C)C(=CC[C@]5[C@]4C[C@@]3O2)C[C@@](O)CC6)CC1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f290>,[CH]1CCC2[C]3C[CH]C4[C]5[CH][C@@]6(CCCCN6)O[C]5C[C]4[C]3CC=C2C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233cac0>
UNPD_subset_A_41,O=C1O[C@@](C)[C@@]2[C@]31[C@]([C@]1[C@@]([C@]4(C)C(=CC1)CC(=O)CC4)CC3)CC2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f300>,O=C1CCC2[C]3CC[C@@]45[C]([CH]OC4=O)CC[C]5[C]3CC=C2C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233cb30>
UNPD_subset_A_42,O=C1C(=O)CC2[C@@](C)([C@@]3C([C@]4[C@](C)([C@@](O)C3)[C@]3[C@](C)[C@@]5(O[C@]3C4)OC[C@](C)CC5)=CC2)C1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f370>,O=C1CC2CC=C3[C]4C[C]5O[C@@]6([CH][C]5C4[CH]C[C]3C2CC1=O)CC[CH]CO6,<rdkit.Chem.rdchem.Mol object at 0x7a508233cba0>
UNPD_subset_A_43,O([C@](C)c1ccc(O)cc1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f3e0>,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233cc10>
UNPD_subset_A_44,O=C(O[C@@]1C(=C)[C@@]2C[C@@]3(O)[C@]45[C@](OC(=O)C)[C@@](OC(=O)c6ccccc6)C[C@]6(C)[C@]4[C@]4N([C@@]5[C@]([C@@]13C4)C2)C6)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f450>,C=C1[CH][C@]23C[C]4[C]5C6C[C](OC(=O)c7ccccc7)[CH][C@]57[C]([C]2C[C]1CC73)N4C6,<rdkit.Chem.rdchem.Mol object at 0x7a508233cc80>
UNPD_subset_A_45,O=C(OC1C(=O)[C@@]2(C)C3=C(C(=O)C(=O)C2C(=O)[C@]21[C@@](C)C2)C(C)(C)C=CC3)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f4c0>,O=C1C(=O)C2C(=O)[C@@]3([CH]C3)CC(=O)C2C2=C1CC=CC2,<rdkit.Chem.rdchem.Mol object at 0x7a508233ccf0>
UNPD_subset_A_46,O=C1C(C)[C@@]2[C@@](O)CC(=C)[C@]3[C@](C(=C)[C@@](O)C3)[C@]2O1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f530>,C=C1[CH]C[C]2[C]1[C]1OC(=O)C[C]1[CH]CC2=C,<rdkit.Chem.rdchem.Mol object at 0x7a508233cd60>
UNPD_subset_A_47,O(C)[C@]1[C@](O)[C@@](O)[C@](O)CO1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f5a0>,[CH]1[CH][CH]OC[CH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508233cdd0>
UNPD_subset_A_48,O=C1C(=C)[C@]2[C@@](O)[C@]3[C@@](O)(C)C[C@](O)[C@@]3C(C)=C[C@]2O1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f610>,C=C1[C]2[CH][C]3CC[CH][C]3C=C[C]2OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233ce40>
UNPD_subset_A_49,O(C)C=1C(O)=C2C(C(=O)C=1)=C1OC(O)=CC=3OC(C)=CC(C1=3)=C2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f680>,O=c1cccc2cc3ccoc4ccoc(c12)c34,<rdkit.Chem.rdchem.Mol object at 0x7a508233ceb0>
UNPD_subset_A_50,O=C(C)C=1OC(=O)C(C)=C(OC)C=1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f6f0>,O=c1cccco1,<rdkit.Chem.rdchem.Mol object at 0x7a508233cf20>
UNPD_subset_A_51,C=C1[C@@]2(C)[C@]3(C)[C@](C)C[C@]2O[C@@]3c2occc12,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f760>,C=C1c2ccoc2[C]2O[C]3C[CH]C2C31,<rdkit.Chem.rdchem.Mol object at 0x7a508233cf90>
UNPD_subset_A_52,O=C(O[C@@]1C[C@]2N(C)[C@](C[C@@]2OC(=O)c2ccccc2)C1)c1cc(OC)c(O)c(OC)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f7d0>,O=C(O[C@]1C[C]2C[C@@](OC(=O)c3ccccc3)[C](C1)N2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d000>
UNPD_subset_A_53,ClC1C(=O)N2C(C(=O)O)C(C)(C)S[C@]12,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f840>,O=C1C[C]2SCCN21,<rdkit.Chem.rdchem.Mol object at 0x7a508233d070>
UNPD_subset_A_54,O=C(C=Cc1cc(OC)c(OC)cc1)c1c(O)cccc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f8b0>,O=C(C=Cc1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d0e0>
UNPD_subset_A_55,N1c2c(cccc2)CCC1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f920>,c1ccc2c(c1)CCCN2,<rdkit.Chem.rdchem.Mol object at 0x7a508233d150>
UNPD_subset_A_56,O=C1C(=C)[C@@]2(C)C(C)C(C(=O)C3[C@](C)(O3)CC[C@]3[C@@](C)(O3)CC2)=C1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7f990>,C=C1C(=O)C=C2CC1CCC1O[C]1CCC1OC1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233d1c0>
UNPD_subset_A_57,O(C)c1c(C)cc(O)cc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fa00>,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d230>
UNPD_subset_A_58,O=C(OC1C[C@@]2N(C)[C@@]([C@@](O)[C@]2O)C1)/C=C/c1cc(OC)c(OC)c(OC)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fa70>,O=C(/C=C/c1ccccc1)OC1C[C]2[CH][CH][C](C1)N2,<rdkit.Chem.rdchem.Mol object at 0x7a508233d2a0>
UNPD_subset_A_59,Oc1ccc(-c2ccccc2)cc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fae0>,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d310>
UNPD_subset_A_60,O[C@@]1(C)[C@]2C(C)(C)[C@]3[C@]([C@](O)C1)([C@](C)CC3)C2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fb50>,[CH]1CC[C]2C[C]3CC[CH][C@@]13C2,<rdkit.Chem.rdchem.Mol object at 0x7a508233d380>
UNPD_subset_A_61,O=C1[C@]2(O)O[C@]3(O)C(=O)c4c(-c5ccc(O)cc5)ccc5c4c(c(O)cc5)[C@]3[C@]2c2c(O)ccc3c2c1c(-c1ccc(O)cc1)cc3,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fbc0>,O=C1c2c(-c3ccccc3)ccc3cccc(c23)[C]2[C]3c4cccc5ccc(-c6ccccc6)c(c45)C(=O)C3OC21,<rdkit.Chem.rdchem.Mol object at 0x7a508233d3f0>
UNPD_subset_A_62,O=C1[C@](O)[C@]23[C@@](O)([C@@](C)(C(C)C(=O)C2)CO1)CC[C@]3C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fc30>,O=C1CC2COC(=O)[CH][C@@]3([CH]CCC23)C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d460>
UNPD_subset_A_63,O=C(O[C@@]1/C(/C)=C/C[C@]2OC(=O)C(=C)[C@@]2C/C(/C)=C/C1)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fca0>,C=C1[C]2C/C=C/C[CH]/C=C/C[C]2OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233d4d0>
UNPD_subset_A_64,O(C)c1c2oc(-c3c(O)cc(OC)cc3)cc2cc(/C=C/C)c1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fd10>,c1ccc(-c2cc3ccccc3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d540>
UNPD_subset_A_65,Oc1c(C(C)C)oc2c1ccc1c2CO[C@](O)(C)C1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fd80>,c1cc2ccc3c(c2o1)COCC3,<rdkit.Chem.rdchem.Mol object at 0x7a508233d5b0>
UNPD_subset_A_66,O=C(O[C@]1[C@]2[C@@](O)([C@@]3[C@@]([C@@]4C(=CC3)C[C@@](O[C@@]3O[C@](C)[C@@](O[C@@]5O[C@](C)[C@@](O[C@@]6O[C@](C)[C@@](O[C@@]7O[C@](C)[C@@](O)[C@](OC)C7)[C@@](O)C6)[C@@](OC)C5)[C@@](OC)C3)CC4)C1)CCC2C(=O)C)C(=CC)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7fdf0>,[CH]1[CH]C[C](O[C@]2[CH]C[C@](O[C@]3[CH]C[C@](O[C@]4[CH]C[C@](O[C]5CC[C]6[C]7C[CH][C]8CCCC8[C]7CC=C6C5)O[CH]4)O[CH]3)O[CH]2)O[CH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508233d620>
