ID,Solvent,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,a_nP,b_rotR,chiral
9464,A,O=C1C(=C)[C@@]2[C@](O)C[C@](C)[C@@]3(O)[C@@](C)(C(=O)CC3)[C@@]2O1,5,2,0.58520001,83.830002,280.32001,0.73333335,20,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
9465,C,O=C1C(CO)[C@]2[C@]([C@]3(C)C(=O)C=C[C@@]3(O)[C@@](C)CC2)O1,5,2,0.4427,83.830002,280.32001,0.73333335,20,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.045454547,6
9466,C,O=C1C(=C)[C@]2[C@](O)[C@]3(C)[C@](O)C[C@](O)[C@]3[C@](C)C[C@]2O1,5,3,0.23289999,86.989998,282.336,0.80000001,20,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8
9468,C,O=C1C(C)[C@]2[C@]([C@]3(CO)[C@@](O)CC[C@]3[C@@](O)(C)CC2)O1,5,3,0.4585,86.989998,284.35199,0.93333334,20,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.045454547,7
9469,C,ClC[C@@]1(O)C(=O)O[C@]2[C@@]1C[C@]1(C)C(=O)C=CC1[C@](C)C2,4,1,1.6892,63.599998,298.76599,0.73333335,20,3,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0.045454547,6
9470,C,O=C(O[C@@]1[C@]2C(=C)C(=O)O[C@]2[C@]2(C)C(=O)CC[C@]2[C@@](C)C1)C,5,0,2.0411,69.669998,306.358,0.70588237,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,6
9471,C,O=C(O[C@]1[C@]2(C)C(=O)CC=C2[C@](C)C[C@@]2OC(=O)C(C)C12)C,5,0,2.0411,69.669998,306.358,0.70588237,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,6
9472,C,O=C(O[C@@]1[C@]2(CO)[C@]([C@@](C)C[C@]3OC(=O)C(=C)[C@]3C2)CC1)C,5,1,1.8345,72.830002,308.37399,0.7647059,22,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.125,6
9473,C,O=C(OC[C@@]12[C@@](O)CC[C@]1[C@@](C)C[C@]1OC(=O)C(=C)[C@]1C2)C,5,1,1.8345,72.830002,308.37399,0.7647059,22,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.125,6
9474,A,O=C(O[C@@]1[C@@]2[C@@](C)([C@](O)C1)C[C@@]1C(=C)C(=O)O[C@@]1C[C@]2C)C,5,1,1.8329,72.830002,308.37399,0.7647059,22,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.083333336,7
