ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
DB04575,O(c1cc2c(cc1)[C@@]1[C@]([C@]3[C@@](C)([C@](O)(C#C)CC3)CC1)CC2)C1CCCC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60740>,c1cc2c(cc1OC1CCCC1)CC[C]1[C]2CCC2CCC[C]12,<rdkit.Chem.rdchem.Mol object at 0x7a508231dee0>
DB04657,O=C(Nc1ccccc1)C1=C(C)OCCS1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f607b0>,O=C(Nc1ccccc1)C1=COCCS1,<rdkit.Chem.rdchem.Mol object at 0x7a508231df50>
DB04703,O(C)c1c(O)cc([C@]2Oc3c(c(O)cc(O[C@]4[C@](O)[C@@](O)[C@](O)[C@@](CO[C@]5[C@](O)[C@](O)[C@@](O)[C@](C)O5)O4)c3)C(=O)C2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60820>,O=C1C[C](c2ccccc2)Oc2cc(O[C@]3[CH][CH][CH][C@@](CO[C]4[CH][CH][CH][CH]O4)O3)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508231dfc0>
DB04711,Ic1c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)cc2I)c(I)cc(I)c1C(=O)O,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60890>,O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e030>
DB04743,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60900>,c1ccc(Oc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e0a0>
DB04794,C(n1cncc1)(c1ccc(-c2ccccc2)cc1)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60970>,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e110>
DB04812,Clc1ccc(-c2oc3c(n2)cc(C(C(=O)O)C)cc3)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f609e0>,c1ccc(-c2nc3ccccc3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e180>
DB04813,Clc1c(O)c(Sc2c(O)c(Cl)cc(Cl)c2)cc(Cl)c1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60a50>,c1ccc(Sc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e1f0>
DB04815,Ic1c(O)c2ncccc2c(Cl)c1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60ac0>,c1ccc2ncccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e260>
DB04816,O=C1c2c(O)cccc2C(=O)c2c1c(O)ccc2,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60b30>,O=C1c2ccccc2C(=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508231e2d0>
DB04817,S(=O)(=O)(O)CN(C)C=1C(=O)N(N(C)C=1C)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60ba0>,O=c1cc[nH]n1-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e340>
DB04820,O=C(NCc1ccccc1)CCNNC(=O)c1ccncc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60c10>,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e3b0>
DB04821,Nc1c2c(C(c3ccccc3)CN(C)C2)ccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60c80>,c1ccc(C2CNCc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e420>
DB04822,O=C(OCCOCCN(CC)CC)C(CC)(CC)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60cf0>,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e490>
DB04824,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60d60>,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508231e500>
DB04825,N(C(Cc1ccccc1)C)CCC(c1ccccc1)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60dd0>,c1ccc(CCNCCC(c2ccccc2)c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e570>
DB04826,N(Cc1sccc1)(c1ccccc1)C1CCN(C)CC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60e40>,c1ccc(N(Cc2cccs2)C2CCNCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e5e0>
DB04827,O=C(OCC)N,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60eb0>,,<rdkit.Chem.rdchem.Mol object at 0x7a508231e650>
DB04832,Brc1ccc(/C(=C/CN(C)C)/c2cnccc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60f20>,C=C(c1ccccc1)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e6c0>
DB04834,O=C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@](OC(=O)C)[C@@](N5CCCCC5)C4)CC3)CC2)C[C@@]1[N+]1(CC=C)CCCCC1)CC,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f60f90>,[CH]1C[C]2CC[C]3[C]4C[C@]([NH+]5CCCCC5)[CH]C4CC[C]3C2C[C@@]1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e730>
DB04835,FC1(F)CCC(C(=O)N[C@@](CCN2[C@]3CC(n4c(C(C)C)nnc4C)C[C@@]2CC3)c2ccccc2)CC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61000>,O=C(N[C](CCN1[C]2CC[C]1CC(n1cnnc1)C2)c1ccccc1)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e7a0>
DB04837,Clc1c(C(O)(CCN(C)C)c2ccccc2)cccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61070>,c1ccc(Cc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e810>
DB04838,O=C(OC1CC(C)(C)CC(C)C1)C(O)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f610e0>,O=C(Cc1ccccc1)OC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e880>
DB04839,ClC1=C2[C@@](C)([C@@]3C(=C1)[C@]1[C@@](C)([C@@](OC(=O)C)(C(=O)C)CC1)CC3)[C@@]1C(C(=O)C2)C1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61150>,O=C1CC2=CC=C3[C]4CCCC4CC[C]3C2[C]2CC21,<rdkit.Chem.rdchem.Mol object at 0x7a508231e8f0>
DB04840,N=C(N)N1Cc2c(cccc2)CC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f611c0>,c1ccc2c(c1)CCNC2,<rdkit.Chem.rdchem.Mol object at 0x7a508231e960>
DB04841,Fc1ccc(C(N2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61230>,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231e9d0>
DB04842,Fc1ccc(C(CCCN2CCC3(N(c4ccccc4)CNC3=O)CC2)c2ccc(F)cc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f612a0>,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccccc1)c1ccccc1)CC2,<rdkit.Chem.rdchem.Mol object at 0x7a508231ea40>
DB04843,O=C(OC1C[N+](C)(C)CCC1)C(O)(c1ccccc1)c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61310>,O=C(OC1CCC[NH2+]C1)C(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231eab0>
DB04844,O(C)c1c(OC)cc2c(c1)C1N(CC(CC(C)C)C(=O)C1)CC2,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61380>,O=C1CCN2CCc3ccccc3C2C1,<rdkit.Chem.rdchem.Mol object at 0x7a508231eb20>
DB04845,O=C1C(C)(C)[C@@](O)CC(=O)N[C@](/C(=C/c2nc(C)sc2)/C)C[C@]2[C@](C)(O2)CCC[C@](C)[C@](O)C1C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f613f0>,O=C1C[CH][CH]CCCC2O[C]2C[C](/C=C/c2cscn2)NC(=O)C[CH]C1,<rdkit.Chem.rdchem.Mol object at 0x7a508231eb90>
DB04846,O=C(N(CC)CC)Nc1cc(C(=O)C)c(OCC(O)CNC(C)(C)C)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61460>,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231ec00>
DB04847,O=C(O)CNC(=O)c1c(O)c2c(c(C)n1)cc(Oc1ccccc1)cc2,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f614d0>,c1ccc(Oc2ccc3ccncc3c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231ec70>
DB04854,O=C(O)c1c(C)nc(-c2cc(C#N)c(OCC(C)C)cc2)s1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61540>,c1ccc(-c2nccs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231ece0>
DB04855,S(=O)(=O)(Nc1cc2c(C(=O)c3ccc(OCCCN(CCCC)CCCC)cc3)c(CCCC)oc2cc1)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f615b0>,O=C(c1ccccc1)c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508231ed50>
DB04861,Fc1cc2c(OC(C(O)CNCC(O)C3Oc4c(cc(F)cc4)CC3)CC2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61620>,c1ccc2c(c1)CCC(CCNCCC1CCc3ccccc3O1)O2,<rdkit.Chem.rdchem.Mol object at 0x7a508231edc0>
DB04864,O=C1NC2=C([C@]3(N)/C(=C/C)/[C@@](C=C(C)C3)C2)C=C1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61690>,C=C1[C]2C=CCC1c1ccc(=O)[nH]c1C2,<rdkit.Chem.rdchem.Mol object at 0x7a508231ee30>
DB04865,O=C(O[C@@]1C(OC)=C[C@]23N(CCc4c(cc5OCOc5c4)[C@]12)CCC3)[C@](O)(CC(=O)OC)CCCC(O)(C)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61700>,[CH]1C=C[C@]23CCCN2CCc2cc4c(cc2[C]13)OCO4,<rdkit.Chem.rdchem.Mol object at 0x7a508231eea0>
DB04868,FC(F)(F)c1cc(NC(=O)c2cc(N=C3N=C(c4cnccc4)C=CN3)c(C)cc2)cc(-n2cc(C)nc2)c1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61770>,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(N=c2nc(-c3cccnc3)cc[nH]2)c1,<rdkit.Chem.rdchem.Mol object at 0x7a508231ef10>
DB04871,Clc1cc2[C@@](C)CNCCc2cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f617e0>,[CH]1CNCCc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508231ef80>
DB04876,O=C(CNC12CC3(O)CC(C1)CC(C3)C2)N1[C@](C#N)CCC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61850>,O=C(CNC12CC3CC(CC(C3)C1)C2)N1[CH]CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231eff0>
DB04880,S(C)c1ccc(C(=O)C2=C(C)NC(=O)N2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f618c0>,O=C(c1ccccc1)c1c[nH]c(=O)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f060>
DB04890,Clc1ccc(C(OC2CCN(CCCC(=O)O)CC2)c2ncccc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61930>,c1ccc(C(OC2CCNCC2)c2ccccn2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f0d0>
DB04896,O=C(N(CC)CC)C1(c2ccccc2)C(CN)C1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f619a0>,c1ccc(C2CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f140>
DB04898,O=C(OCC)CNC(C(=O)N1C(C(=O)NCc2ccc(C(=NO)N)cc2)CC1)C1CCCCC1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61a10>,O=C(NCc1ccccc1)C1CCN1C(=O)CC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f1b0>
DB04908,FC(F)(F)c1cc(N2CCN(CCN3C(=O)Nc4c3cccc4)CC2)ccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61a80>,O=c1[nH]c2ccccc2n1CCN1CCN(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f220>
DB04911,Clc1c2Oc3c(O[C@]4[C@](O[C@@]5O[C@@](C)[C@](O)[C@](NCc6ccc(-c7ccc(Cl)cc7)cc6)(C)C5)[C@@](O)[C@](O)[C@@](CO)O4)c4Oc5c(Cl)cc([C@@](O[C@@]6O[C@@](C)[C@](O)[C@](N)(C)C6)C6=C(O)NC(=C(O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(=C(O)N6)NC(=O)[C@](NC(=O)[C@](CC(=O)N)NC(=O)[C@](NC(=O)[C@](NC)CC(C)C)[C@](O)c(c1)cc2)c(c3)c4)cc5,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61af0>,C=c1[nH]cc2[nH]cc(c3cccc(c3)c3ccccc13)NC(=O)[C]1NC(=O)[CH]NC(=O)[CH][CH]c3ccc(cc3)Oc3cc1cc(c3O[C@]1O[CH][CH][CH][C@]1O[C]1CC(NCc3ccc(-c4ccccc4)cc3)[CH][CH]O1)Oc1ccc(cc1)[C]2O[C]1CC[CH][CH]O1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f290>
DB04918,O=C(NC1C(=O)N2C(C(=O)O)=C(Cc3c(O)n([C@]4CNCC4)cc3)CS[C@]12)C(=NO)C1=NSC(=N)N1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61b60>,N=C(C(=O)NC1[C]2SCC(Cc3ccn([C]4CCNC4)c3)=CN2C1=O)c1nsc(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f300>
DB04920,Clc1c(Cl)cccc1C1C(C(=O)OCOC(=O)CCC)=C(C)N=C(C)C1C(=O)OC,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61bd0>,C1=CC(c2ccccc2)CC=N1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f370>
DB04930,ClC(Cl)=CC1C(C)(C)C1C(=O)OCc1cc(Oc2ccccc2)ccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61c40>,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f3e0>
DB04931,O=C(NC(C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N)C(C)C)CCC1)CCCCN)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)Cc1ccccc1)Cc1nc[nH]c1)CCC(=O)O)CCCC)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)C)CO)Cc1ccc(O)cc1)CO,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61cb0>,O=C([CH]Cc1ccccc1)N[CH]C(=O)NCC(=O)N[CH]C(=O)N[C](Cc1c[nH]cn1)C(=O)N[C](Cc1ccccc1)C(=O)N[CH]C(=O)N[C](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[CH]C(=O)N1[CH]CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f450>
DB04938,ClCC/C(=C(/c1ccc(OCCO)cc1)\c1ccccc1)/c1ccccc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61d20>,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f4c0>
DB04946,Fc1cc2onc(C3CCN(CCCOc4c(OC)cc(C(=O)C)cc4)CC3)c2cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5082f61d90>,c1ccc(OCCCN2CCC(c3noc4ccccc34)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a508231f530>
