ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
UNPD_subset_A_1942,O=C1C(C)[C@@]2[C@@](O)CC(=C)[C@]3[C@](C(=C)C(=O)C3)[C@]2O1,UNPD-A,4,1,1.2463,63.599998,262.30499,0.60000002,19,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,6,0
UNPD_subset_A_1943,O=C(OC)C1=C(O)C(=O)c2c(O)c3c(c(O)c(OC)c(CC=CC)c3)c(O)c2N1,UNPD-A,8,5,2.4175,149.31,401.371,0.2,29,3,9,4,0,0,2,1,3,0,10,0,0,0,0,0,1,8,0,0.16129032,0,0
UNPD_subset_A_1944,O=C(O)c1c(O)c(C/C=C(/CCC=C(C)C)\C)c(O)cc1/C=C/c1ccccc1,UNPD-A,3,3,6.2016001,77.760002,392.495,0.23999999,29,2,4,8,0,0,2,0,2,0,12,0,0,0,0,0,0,4,0,0.26666668,0,0
UNPD_subset_A_1945,O=C(O[C@]([C@@](CN)C)(Cc1ccccc1)c1ccccc1)CC,UNPD-A,3,1,3.6726,52.32,311.42499,0.34999999,23,2,3,7,0,0,2,0,2,0,12,0,0,0,0,0,1,2,0,0.33333334,2,0
UNPD_subset_A_1946,O=C(O[C@@]1[C@@]2(C)O[C@@](OC)(C(CO[C@]3[C@@](O)[C@](OC(=O)C)[C@](O)CO3)=C[C@@]3[C@@](C(C)C)CC=C(C)[C@@]3C1)C=C2)/C=C/c1ncn(C)c1,UNPD-A,12,2,3.244,147.8,656.77301,0.62857145,47,5,12,9,1,3,0,1,1,0,5,0,0,0,0,0,2,10,0,0.21568628,10,0
UNPD_subset_A_1947,O=C(O[C@]1[C@](C)O[C@]2(C)[C@@](OC(=O)C)C(C)C(=O)O[C@]2[C@@]1C)CCC(=O)CCCC,UNPD-A,8,0,2.7444,105.2,426.50601,0.81818181,30,2,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0.32258064,7,0
UNPD_subset_A_1948,O=C1N2C(=CC=C1)C1CN(C[C@@]3[C@]4(O)N(C(=O)CC3)C[C@@]3[C@@]5N(C[C@]4C3)CCCC5)C[C@@](C2)C1,UNPD-A,6,1,1.6988,69.019997,466.62601,0.77777779,34,7,7,2,0,6,0,1,1,0,0,0,0,0,0,0,4,3,0,0.050000001,7,0
UNPD_subset_A_1949,ClC=1C(=O)[C@@](OC(=O)C)(C)C(=O)C=2C=1C=C(/C=C/C(=C/[C@](CC)C)/C)N(CCO)C=2,UNPD-A,6,1,3.5771999,83.910004,433.93201,0.43478259,30,2,7,7,1,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0.25806451,2,1
UNPD_subset_A_1950,O=C1C(=O)Cc2c(-c3ccc(O)cc3)ccc3c2c1ccc3,UNPD-A,3,1,3.5202999,54.369999,288.302,0.052631579,22,4,3,1,1,0,3,0,3,0,16,0,0,0,0,0,0,3,0,0.039999999,0,0
UNPD_subset_A_1951,O=C(O[C@]1[C@]2C(=C)C(=O)O[C@@]2/C=C(\C)/[C@@](OC(=O)C)C[C@@]2[C@](C)(O2)C1)C(C)C,UNPD-A,7,0,2.4813001,91.43,392.448,0.66666669,28,3,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0.16666667,6,0
UNPD_subset_A_1952,N([C@@](C)[C@@]1[C@]2(C)[C@](C)([C@@]3[C@]4([C@@]5([C@@](C(C)(C)[C@@](NC)CC5)CC3)C4)CC2)CC1)(C)C,UNPD-A,2,1,5.9636002,15.27,400.69501,1.0,29,5,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.090909094,9,0
